Test Case ID,Module,Subtask,Feature,Test Type,Description,Pre-condition,Test Steps,Expected Result,Priority,Status
TC_DIR_01,Directory,Directory,Verify Directory page load and header breadcrumb,Positive,Verify Directory page load and header breadcrumb,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Directory' module.,1. Perform the actions described in the test title,- The header should equal 'Directory',High,PASSED
TC_DIR_02,Directory,Directory,Verify search functionality by Job Title,Positive,Verify search functionality by Job Title,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Directory' module.,1. Select a Job Title filter and click Search,"- The await directory page.is no records visible() should equal 'true'
- The card count should be greater than '0'",High,PASSED
TC_DIR_03,Directory,Directory,Verify reset button clears search parameters,Positive,Verify reset button clears search parameters,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Directory' module.,"1. Click the Job Title dropdown
2. Select an option in the directory page
3. Click the Reset button to clear search filters",- The selected text should contain '-- Select --',High,PASSED
TC_DIR_04,Directory,Directory,Verify searching with invalid employee name returns no records,Negative,Verify searching with invalid employee name returns no records,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Directory' module.,"1. Enter 'NonExistentEmployeeXYZ' into the Employee Name field
2. Click the Search button",- There should be no records,Medium,PASSED
TC_DIR_05,Directory,Directory,Verify Location dropdown filter is visible,Positive,Verify Location dropdown filter is visible,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Directory' module.,1. Perform the actions described in the test title,- The Location dropdown should be visible,Medium,PASSED
TC_DIR_06,Directory,Directory,Verify Job Title dropdown filter is visible,Positive,Verify Job Title dropdown filter is visible,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Directory' module.,1. Perform the actions described in the test title,- The Job Title dropdown should be visible,Medium,PASSED
TC_DIR_07,Directory,Directory,Verify Employee Name input field is visible,Positive,Verify Employee Name input field is visible,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Directory' module.,1. Perform the actions described in the test title,- The Employee Name field should be visible,Medium,PASSED
TC_DIR_08,Directory,Directory,Verify Search button is visible,Positive,Verify Search button is visible,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Directory' module.,1. Perform the actions described in the test title,- The Search button should be visible,Medium,PASSED
TC_DIR_09,Directory,Directory,Verify Reset button is visible,Positive,Verify Reset button is visible,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Directory' module.,1. Perform the actions described in the test title,- The Reset Password button should be visible,Medium,PASSED
TC_DIR_10,Directory,Directory,Verify card grid container is visible in search results,Positive,Verify card grid container is visible in search results,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Directory' module.,1. Perform the actions described in the test title,- The grid should be visible,Medium,PASSED
TC_DIR_11,Directory,Directory,Verify employee card has image element,Positive,Verify employee card has image element,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Directory' module.,1. Perform the actions described in the test title,- The img should be present,Medium,PASSED
TC_DIR_12,Directory,Directory,Verify employee card has name header link,Positive,Verify employee card has name header link,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Directory' module.,1. Perform the actions described in the test title,- The name should be present,Medium,PASSED
TC_DIR_13,Directory,Directory,Verify employee card job title text block exists,Positive,Verify employee card job title text block exists,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Directory' module.,1. Perform the actions described in the test title,- The subtitle should be present,Medium,PASSED
TC_DIR_14,Directory,Directory,Verify employee card location text block exists,Positive,Verify employee card location text block exists,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Directory' module.,1. Perform the actions described in the test title,- The details should be present,Medium,PASSED
TC_DIR_15,Directory,Directory,Verify autocomplete options container is hidden on page load,Positive,Verify autocomplete options container is hidden on page load,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Directory' module.,1. Perform the actions described in the test title,- The autocomplete suggestion should not be visible,Medium,PASSED
TC_DIR_16,Directory,Directory,Verify search by Location filter option functionality,Positive,Verify search by Location filter option functionality,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Directory' module.,"1. Click the Location dropdown
2. Click the first option
3. Click the Search button",- The cards should be present,Medium,PASSED
