Test Case ID,Module,Subtask,Feature,Test Type,Description,Pre-condition,Test Steps,Expected Result,Priority,Status
TC_TIME_01,Time,Time,Verify Time page loads with sub-navigation headers,Positive,Verify Time page loads with sub-navigation headers,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Time' module.,1. Perform the actions described in the test title,"- The header should equal 'Time'
- The tabs visible should equal 'true'",High,PASSED
TC_TIME_02,Time,Time,Verify access to My Timesheets page,Positive,Verify access to My Timesheets page,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Time' module.,1. Navigate to the My Timesheets page,- The heading should be visible,High,PASSED
TC_TIME_03,Time,Time,Verify access to Punch In/Out attendance page,Positive,Verify access to Punch In/Out attendance page,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Time' module.,1. Navigate to the Punch In/Out page,- The 'Punch In' element should be visible,High,PASSED
TC_TIME_04,Time,Time,Verify search button validation with empty/invalid inputs in employee timesheets,Negative,Verify search button validation with empty/invalid inputs in employee timesheets,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Time' module.,"1. Click the Timesheets tab
2. Click the Employee Timesheets link
3. Click the View button","- The error text should be visible
- The error text should display the text 'Required'",Medium,PASSED
TC_TIME_05,Time,Time,Verify top navigation contains Reports tab,Positive,Verify top navigation contains Reports tab,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Time' module.,1. Perform the actions described in the test title,- The Reports tab should be visible,Medium,PASSED
TC_TIME_06,Time,Time,Verify top navigation contains Project Info tab,Positive,Verify top navigation contains Project Info tab,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Time' module.,1. Perform the actions described in the test title,- The Project Info tab should be visible,Medium,PASSED
TC_TIME_07,Time,Time,Verify Customers option exists under Project Info,Positive,Verify Customers option exists under Project Info,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Time' module.,1. Click the Project Info tab,- The 'Customers' element should be visible,Medium,PASSED
TC_TIME_08,Time,Time,Verify Projects option exists under Project Info,Positive,Verify Projects option exists under Project Info,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Time' module.,1. Click the Project Info tab,- The 'Projects' element should be visible,Medium,PASSED
TC_TIME_09,Time,Time,Verify Project Info menu contains exactly Customers and Projects options,Positive,Verify Project Info menu contains exactly Customers and Projects options,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Time' module.,1. Click the Project Info tab,"- The items should have a count of '2'
- The items.nth(0) should display the text 'Customers'
- The items.nth(1) should display the text 'Projects'",Medium,FAILED
TC_TIME_10,Time,Time,Verify Project Reports option exists under Reports menu,Positive,Verify Project Reports option exists under Reports menu,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Time' module.,1. Click the Reports tab,- The 'Project Reports' element should be visible,Medium,PASSED
TC_TIME_11,Time,Time,Verify Employee Reports option exists under Reports menu,Positive,Verify Employee Reports option exists under Reports menu,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the 'Time' module.,1. Click the Reports tab,- The 'Employee Reports' element should be visible,Medium,PASSED
