Test Case ID,Module,Subtask,Feature,Test Type,Description,Pre-condition,Test Steps,Expected Result,Priority,Status
TC_DASH_01,Dashboard,Dashboard,Verify dashboard page loads after login,Positive,Verify dashboard page loads after login,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded.,1. Perform the actions described in the test title,- The header text should equal 'Dashboard',High,PASSED
TC_DASH_02,Dashboard,Dashboard,Verify dashboard widgets are visible,Positive,Verify dashboard widgets are visible,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded.,1. Perform the actions described in the test title,"- The widget count should be greater than '0'
- The visible should equal 'true'",High,FAILED
TC_DASH_03,Dashboard,Dashboard,Verify Time at Work widget is displayed,Positive,Verify Time at Work widget is displayed,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded.,1. Perform the actions described in the test title,- The 'Time at Work' widget should be visible,High,FAILED
TC_DASH_04,Dashboard,Dashboard,Verify My Actions widget is displayed,Positive,Verify My Actions widget is displayed,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded.,1. Perform the actions described in the test title,- The 'My Actions' widget should be visible,Medium,PASSED
TC_DASH_05,Dashboard,Dashboard,Verify Quick Launch widget is displayed,Positive,Verify Quick Launch widget is displayed,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded.,1. Perform the actions described in the test title,- The 'Quick Launch' widget should be visible,Medium,PASSED
TC_DASH_06,Dashboard,Dashboard,Verify sidebar contains all main navigation items,Positive,Verify sidebar contains all main navigation items,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded.,1. Perform the actions described in the test title,- The dashboard page.sidebar link(module name) should be visible,Medium,PASSED
TC_DASH_07,Dashboard,Dashboard,Verify logged-in user name is displayed in header,Positive,Verify logged-in user name is displayed in header,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded.,1. Perform the actions described in the test title,- The length should be greater than '0',Medium,PASSED
TC_DASH_08,Dashboard,Dashboard,"Verify user dropdown shows About, Support, Change Password, Logout",Positive,"Verify user dropdown shows About, Support, Change Password, Logout",The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded.,1. Open the user profile dropdown menu,"- The About link should be visible
- The Support link should be visible
- The Change Password link should be visible
- The Logout link should be visible",Medium,PASSED
TC_DASH_09,Dashboard,Dashboard,Verify sidebar collapse and expand functionality,Positive,Verify sidebar collapse and expand functionality,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded.,1. Click the sidebar collapse toggle,"- The sidebar navigation panel should be visible
- The sidebar navigation panel should have a CSS class matching a value matching /toggled/
- The sidebar navigation panel should not have a CSS class matching a value matching /toggled/",Medium,PASSED
TC_DASH_10,Dashboard,Dashboard,Verify Employees on Leave Today widget is displayed,Positive,Verify Employees on Leave Today widget is displayed,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded.,1. Perform the actions described in the test title,- The 'Employees on Leave Today' widget should be visible,Medium,PASSED
TC_DASH_11,Dashboard,Dashboard,Verify sidebar search filters navigation items,Positive,Verify sidebar search filters navigation items,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded.,1. Type into the sidebar module search box,- The dashboard page.sidebar link('admin') should be visible,Medium,PASSED
TC_DASH_12,Dashboard,Dashboard,Verify dashboard URL contains correct path,Positive,Verify dashboard URL contains correct path,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded.,1. Perform the actions described in the test title,- The dashboard page.page.url() should contain '/dashboard/index',Medium,PASSED
TC_DASH_13,Dashboard,Dashboard,Verify user profile dropdown image has valid attributes,Positive,Verify user profile dropdown image has valid attributes,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded.,1. Perform the actions described in the test title,"- The img should be visible
- The src should not be null
- The length should be greater than '0'
- The width should be greater than '0'
- The height should be greater than '0'",Medium,PASSED
TC_DASH_14,Dashboard,Dashboard,Verify corporate branding logo is visible in sidebar header,Positive,Verify corporate branding logo is visible in sidebar header,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded.,1. Perform the actions described in the test title,- The brand should be visible,Medium,PASSED
TC_DASH_15,Dashboard,Dashboard,Verify sidebar search input is functional,Positive,Verify sidebar search input is functional,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded.,1. Perform the actions described in the test title,"- The sidebar search field should be visible
- The placeholder should equal 'Search'",Medium,PASSED
