Test Case ID,Module,Subtask,Feature,Test Type,Description,Pre-condition,Test Steps,Expected Result,Priority,Status
TC_VALID_01,Validations,Validations,Verify required field validations for empty fields,Positive,Verify required field validations for empty fields,The OrangeHRM login page is loaded in the browser.,1. Click the Login button without entering any credentials,"- The username error should equal 'Required'
- The password error should equal 'Required'",High,PASSED
TC_VALID_02,Validations,Validations,Verify validation when only password is entered,Positive,Verify validation when only password is entered,The OrangeHRM login page is loaded in the browser.,1. Enter only the password and click the Login button,- The username error should equal 'Required',High,PASSED
TC_VALID_03,Validations,Validations,Verify validation when only username is entered,Positive,Verify validation when only username is entered,The OrangeHRM login page is loaded in the browser.,1. Enter only the username and click the Login button,- The password error should equal 'Required',High,PASSED
TC_VALID_04,Validations,Validations,Verify login fails with special characters in credentials,Positive,Verify login fails with special characters in credentials,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button",- The error text should equal 'Invalid credentials',Medium,PASSED
TC_VALID_05,Validations,Validations,Verify validation error message when username has only spaces,Negative,Verify validation error message when username has only spaces,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button",- The error text || 'invalid credentials' should be present,Medium,PASSED
TC_VALID_06,Validations,Validations,Verify validation error message when password has only spaces,Negative,Verify validation error message when password has only spaces,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button",- The error text || 'invalid credentials' should be present,Medium,PASSED
TC_VALID_07,Validations,Validations,Verify login fails with SQL Injection payload in username,Positive,Verify login fails with SQL Injection payload in username,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button",- The error text should equal 'Invalid credentials',Medium,PASSED
TC_VALID_08,Validations,Validations,Verify login fails with SQL Injection payload in password,Positive,Verify login fails with SQL Injection payload in password,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button",- The error text should equal 'Invalid credentials',Medium,PASSED
TC_VALID_09,Validations,Validations,Verify error validation text elements have correct text color (red),Negative,Verify error validation text elements have correct text color (red),The OrangeHRM login page is loaded in the browser.,1. Click the Login button without entering any credentials,"- The color should contain 'rgb(235, 9, 16)'",Medium,PASSED
TC_VALID_10,Validations,Validations,Verify username field does not exceed max length limit of HTML standards,Positive,Verify username field does not exceed max length limit of HTML standards,The OrangeHRM login page is loaded in the browser.,1. Perform the actions described in the test title,- The maxlen should be null,Medium,PASSED
