Test Case ID,Module,Subtask,Feature,Test Type,Description,Pre-condition,Test Steps,Expected Result,Priority,Status
TC_PASSWORD_01,ChangePassword,ChangePassword,Verify navigation to Change Password page and input elements,Positive,Verify navigation to Change Password page and input elements,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the Change Password page.,1. Perform the actions described in the test title,"- The browser URL should match a value matching /updatePassword/
- The orangehrm main title element should display the text 'Update Password'
- The password element should be visible",High,PASSED
TC_PASSWORD_02,ChangePassword,ChangePassword,Verify validation messages on empty form submission,Positive,Verify validation messages on empty form submission,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the Change Password page.,1. Click the submit element,"- The count should be greater than or equal to '1'
- The required messages.nth(i) should display the text a value matching /Required|Should have at least|Passwords do not match/",High,PASSED
TC_PASSWORD_03,ChangePassword,ChangePassword,Verify mismatch error for new and confirm passwords,Negative,Verify mismatch error for new and confirm passwords,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the Change Password page.,"1. Enter 'admin123' into the password element
2. Enter 'NewPass123!' into the password element
3. Enter 'DifferentPass123!' into the password element
4. Click the submit element",- The mismatch error should display the text a value matching /Passwords do not match/,High,PASSED
TC_PASSWORD_04,ChangePassword,ChangePassword,Verify cancel button redirects back to dashboard,Positive,Verify cancel button redirects back to dashboard,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the Change Password page.,1. Click the oxd button  ghost element,- The page.url() should contain '/dashboard/index',Medium,PASSED
TC_PASSWORD_05,ChangePassword,ChangePassword,Verify page URL contains updatePassword,Positive,Verify page URL contains updatePassword,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the Change Password page.,1. Perform the actions described in the test title,- The page.url() should contain 'updatePassword',Medium,PASSED
TC_PASSWORD_06,ChangePassword,ChangePassword,Verify heading title has class orangehrm-main-title,Positive,Verify heading title has class orangehrm-main-title,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the Change Password page.,1. Perform the actions described in the test title,- The orangehrm main title element should have a CSS class matching a value matching /orangehrm-main-title/,Medium,PASSED
TC_PASSWORD_07,ChangePassword,ChangePassword,Verify current password field type attribute is password,Positive,Verify current password field type attribute is password,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the Change Password page.,1. Perform the actions described in the test title,- The type should equal 'password',Medium,PASSED
TC_PASSWORD_08,ChangePassword,ChangePassword,Verify new password field type attribute is password,Positive,Verify new password field type attribute is password,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the Change Password page.,1. Perform the actions described in the test title,- The type should equal 'password',Medium,PASSED
TC_PASSWORD_09,ChangePassword,ChangePassword,Verify confirm password field type attribute is password,Positive,Verify confirm password field type attribute is password,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the Change Password page.,1. Perform the actions described in the test title,- The type should equal 'password',Medium,PASSED
TC_PASSWORD_10,ChangePassword,ChangePassword,Verify validation error on entering short new password,Negative,Verify validation error on entering short new password,The user is logged in to OrangeHRM with valid credentials and the Dashboard has loaded. The user has navigated to the Change Password page.,"1. Enter '123' into the password element
2. Press the 'Tab' key while focused on the password element
3. Click the submit element",- The err should display the text a value matching /Should have at least/,Medium,PASSED
