Test Case ID,Module,Subtask,Feature,Test Type,Description,Pre-condition,Test Steps,Expected Result,Priority,Status
TC_LOGOUT_01,Logout,Logout,Verify logout functionality redirects to login page,Positive,Verify logout functionality redirects to login page,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button
2. Open the user dropdown and click Logout",- The Login button should be visible,High,PASSED
TC_LOGOUT_02,Logout,Logout,Verify dashboard is not accessible after logout,Positive,Verify dashboard is not accessible after logout,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button
2. Open the user dropdown and click Logout
3. Navigate directly to '/web/index.php/dashboard/index'",- The Login button should be visible,High,PASSED
TC_LOGOUT_03,Logout,Logout,Verify browser back button does not access dashboard after logout,Positive,Verify browser back button does not access dashboard after logout,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button
2. Open the user dropdown and click Logout
3. Navigate back using the browser's back button",- The Login button should be visible,High,PASSED
TC_LOGOUT_04,Logout,Logout,Verify user dropdown is collapsed by default,Positive,Verify user dropdown is collapsed by default,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button",- The Logout link should not be visible,Medium,PASSED
TC_LOGOUT_05,Logout,Logout,Verify user dropdown lists Logout link on click,Positive,Verify user dropdown lists Logout link on click,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button
2. Open the user profile dropdown menu",- The Logout link should be visible,Medium,PASSED
TC_LOGOUT_06,Logout,Logout,Verify clicking outside user dropdown closes the dropdown menu,Positive,Verify clicking outside user dropdown closes the dropdown menu,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button
2. Open the user profile dropdown menu
3. Click the page",- The Logout link should not be visible,Medium,PASSED
TC_LOGOUT_07,Logout,Logout,Verify Logout dropdown item tag is anchor link,Positive,Verify Logout dropdown item tag is anchor link,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button
2. Open the user profile dropdown menu",- The tag name should equal 'a',Medium,PASSED
TC_LOGOUT_08,Logout,Logout,Verify cookies are cleared or altered after logout,Positive,Verify cookies are cleared or altered after logout,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button
2. Open the user dropdown and click Logout","- The length should be greater than '0'
- The cookies after should be present",Medium,PASSED
TC_LOGOUT_09,Logout,Logout,Verify Admin page is not accessible after logout,Positive,Verify Admin page is not accessible after logout,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button
2. Open the user dropdown and click Logout
3. Navigate directly to '/web/index.php/admin/viewSystemUsers'",- The Login button should be visible,Medium,PASSED
TC_LOGOUT_10,Logout,Logout,Verify PIM page is not accessible after logout,Positive,Verify PIM page is not accessible after logout,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button
2. Open the user dropdown and click Logout
3. Navigate directly to '/web/index.php/pim/viewEmployeeList'",- The Login button should be visible,Medium,PASSED
TC_LOGOUT_11,Logout,Logout,Verify Leave page is not accessible after logout,Positive,Verify Leave page is not accessible after logout,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button
2. Open the user dropdown and click Logout
3. Navigate directly to '/web/index.php/leave/viewLeaveList'",- The Login button should be visible,Medium,PASSED
TC_LOGOUT_12,Logout,Logout,Verify Time page is not accessible after logout,Positive,Verify Time page is not accessible after logout,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button
2. Open the user dropdown and click Logout
3. Navigate directly to '/web/index.php/time/viewEmployeeTimesheet'",- The Login button should be visible,Medium,PASSED
TC_LOGOUT_13,Logout,Logout,Verify Recruitment page is not accessible after logout,Positive,Verify Recruitment page is not accessible after logout,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button
2. Open the user dropdown and click Logout
3. Navigate directly to '/web/index.php/recruitment/viewCandidates'",- The Login button should be visible,Medium,PASSED
TC_LOGOUT_14,Logout,Logout,Verify My Info page is not accessible after logout,Positive,Verify My Info page is not accessible after logout,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button
2. Open the user dropdown and click Logout
3. Navigate directly to '/web/index.php/pim/viewPersonalDetails/empNumber/7'",- The Login button should be visible,Medium,PASSED
TC_LOGOUT_15,Logout,Logout,Verify Buzz page is not accessible after logout,Positive,Verify Buzz page is not accessible after logout,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button
2. Open the user dropdown and click Logout
3. Navigate directly to '/web/index.php/buzz/viewBuzz'",- The Login button should be visible,Medium,PASSED
TC_LOGOUT_16,Logout,Logout,Verify Directory page is not accessible after logout,Positive,Verify Directory page is not accessible after logout,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button
2. Open the user dropdown and click Logout
3. Navigate directly to '/web/index.php/directory/viewDirectory'",- The Login button should be visible,Medium,PASSED
