Test Case ID,Module,Subtask,Feature,Test Type,Description,Pre-condition,Test Steps,Expected Result,Priority,Status
TC_FORGOT_01,ForgotPassword,ForgotPassword,Verify forgot password link navigates correctly,Positive,Verify forgot password link navigates correctly,The OrangeHRM login page is loaded in the browser.,1. Click the 'Forgot your password?' link,"- The username field should be visible
- The Reset Password button should be visible
- The Cancel button should be visible",High,PASSED
TC_FORGOT_02,ForgotPassword,ForgotPassword,Verify cancel button on forgot password returns to login,Positive,Verify cancel button on forgot password returns to login,The OrangeHRM login page is loaded in the browser.,"1. Click the 'Forgot your password?' link
2. Click the Cancel button on the reset password page",- The Login button should be visible,High,PASSED
TC_FORGOT_03,ForgotPassword,ForgotPassword,Verify password reset request with valid username,Positive,Verify password reset request with valid username,The OrangeHRM login page is loaded in the browser.,"1. Click the 'Forgot your password?' link
2. Enter the username and submit the password reset request",- The reset success heading should display the text a value matching /Reset Password link sent successfully/,High,PASSED
TC_FORGOT_04,ForgotPassword,ForgotPassword,Verify forgot password page heading text,Positive,Verify forgot password page heading text,The OrangeHRM login page is loaded in the browser.,1. Click the 'Forgot your password?' link,- The orangehrm forgot password title element should display the text 'Reset Password',Medium,PASSED
TC_FORGOT_05,ForgotPassword,ForgotPassword,Verify URL contains auth/requestPasswordResetCode,Positive,Verify URL contains auth/requestPasswordResetCode,The OrangeHRM login page is loaded in the browser.,1. Navigate directly to '/web/index.php/auth/requestPasswordResetCode',- The page.url() should contain '/auth/requestPasswordResetCode',Medium,PASSED
TC_FORGOT_06,ForgotPassword,ForgotPassword,Verify username input displays non-empty hint text,Positive,Verify username input displays non-empty hint text,The OrangeHRM login page is loaded in the browser.,1. Click the 'Forgot your password?' link,- The length should be greater than '0',Medium,PASSED
TC_FORGOT_07,ForgotPassword,ForgotPassword,Verify Company branding banner is visible on reset password page,Positive,Verify Company branding banner is visible on reset password page,The OrangeHRM login page is loaded in the browser.,1. Navigate directly to '/web/index.php/auth/requestPasswordResetCode',- The branding should be present,Medium,PASSED
TC_FORGOT_08,ForgotPassword,ForgotPassword,Verify cancel button tag name is button,Positive,Verify cancel button tag name is button,The OrangeHRM login page is loaded in the browser.,1. Click the 'Forgot your password?' link,- The tag name should equal 'button',Medium,PASSED
TC_FORGOT_09,ForgotPassword,ForgotPassword,Verify reset button tag name is button,Positive,Verify reset button tag name is button,The OrangeHRM login page is loaded in the browser.,1. Click the 'Forgot your password?' link,- The tag name should equal 'button',Medium,PASSED
TC_FORGOT_10,ForgotPassword,ForgotPassword,Verify validation error on submitting empty username,Negative,Verify validation error on submitting empty username,The OrangeHRM login page is loaded in the browser.,"1. Click the 'Forgot your password?' link
2. Click the Reset Password button",- The err should display the text 'Required',Medium,PASSED
TC_FORGOT_11,ForgotPassword,ForgotPassword,Verify focus is not auto-assigned if click outside,Positive,Verify focus is not auto-assigned if click outside,The OrangeHRM login page is loaded in the browser.,"1. Click the 'Forgot your password?' link
2. Focus the Cancel button",- The Cancel button should receive keyboard focus,Medium,PASSED
TC_FORGOT_12,ForgotPassword,ForgotPassword,Verify description instructing user on password reset exists,Positive,Verify description instructing user on password reset exists,The OrangeHRM login page is loaded in the browser.,1. Navigate directly to '/web/index.php/auth/requestPasswordResetCode',- The orangehrm forgot password button container element should be present,Medium,PASSED
TC_FORGOT_13,ForgotPassword,ForgotPassword,Verify page tab title on reset page contains OrangeHRM,Positive,Verify page tab title on reset page contains OrangeHRM,The OrangeHRM login page is loaded in the browser.,1. Navigate directly to '/web/index.php/auth/requestPasswordResetCode',- The title should contain 'OrangeHRM',Medium,PASSED
TC_FORGOT_14,ForgotPassword,ForgotPassword,Verify secure HTTPS connection on forgot password page,Positive,Verify secure HTTPS connection on forgot password page,The OrangeHRM login page is loaded in the browser.,1. Navigate directly to '/web/index.php/auth/requestPasswordResetCode',- The page.url().starts with('https://') should equal 'true',Medium,PASSED
TC_FORGOT_15,ForgotPassword,ForgotPassword,Verify autocomplete attribute is off on input field,Positive,Verify autocomplete attribute is off on input field,The OrangeHRM login page is loaded in the browser.,1. Click the 'Forgot your password?' link,- The autocomplete === null || autocomplete === 'off' should equal 'true',Medium,PASSED
TC_FORGOT_16,ForgotPassword,ForgotPassword,Verify reset password container wrapper exists,Positive,Verify reset password container wrapper exists,The OrangeHRM login page is loaded in the browser.,1. Navigate directly to '/web/index.php/auth/requestPasswordResetCode',- The container should be visible,Medium,PASSED
TC_FORGOT_17,ForgotPassword,ForgotPassword,Verify reset password title has correct CSS class name,Positive,Verify reset password title has correct CSS class name,The OrangeHRM login page is loaded in the browser.,1. Navigate directly to '/web/index.php/auth/requestPasswordResetCode',- The heading should have a CSS class matching a value matching /orangehrm-forgot-password-title/,Medium,PASSED
TC_FORGOT_18,ForgotPassword,ForgotPassword,Verify cancel button has outline default class name,Positive,Verify cancel button has outline default class name,The OrangeHRM login page is loaded in the browser.,1. Click the 'Forgot your password?' link,- The Cancel button should have a CSS class matching a value matching /oxd-button--ghost/,Medium,PASSED
TC_FORGOT_19,ForgotPassword,ForgotPassword,Verify reset button has filled primary class name,Positive,Verify reset button has filled primary class name,The OrangeHRM login page is loaded in the browser.,1. Click the 'Forgot your password?' link,- The Reset Password button should have a CSS class matching a value matching /oxd-button--secondary/,Medium,PASSED
TC_FORGOT_20,ForgotPassword,ForgotPassword,Verify cancel cursor is pointer on hover,Positive,Verify cancel cursor is pointer on hover,The OrangeHRM login page is loaded in the browser.,1. Click the 'Forgot your password?' link,- The cursor should equal 'pointer',Medium,PASSED
TC_FORGOT_21,ForgotPassword,ForgotPassword,Verify reset cursor is pointer on hover,Positive,Verify reset cursor is pointer on hover,The OrangeHRM login page is loaded in the browser.,1. Click the 'Forgot your password?' link,- The cursor should equal 'pointer',Medium,PASSED
TC_FORGOT_22,ForgotPassword,ForgotPassword,Verify HTML lang tag exists on forgot password DOM,Positive,Verify HTML lang tag exists on forgot password DOM,The OrangeHRM login page is loaded in the browser.,1. Navigate directly to '/web/index.php/auth/requestPasswordResetCode',- The lang === null || lang === 'en' should equal 'true',Medium,PASSED
TC_FORGOT_23,ForgotPassword,ForgotPassword,Verify reset instruction text textContent length,Positive,Verify reset instruction text textContent length,The OrangeHRM login page is loaded in the browser.,1. Navigate directly to '/web/index.php/auth/requestPasswordResetCode',- The desc should be present,Medium,PASSED
TC_FORGOT_24,ForgotPassword,ForgotPassword,Verify tab key navigation from username to cancel button,Positive,Verify tab key navigation from username to cancel button,The OrangeHRM login page is loaded in the browser.,"1. Click the 'Forgot your password?' link
2. Focus the username field
3. Press the 'Tab' key",- The Cancel button should receive keyboard focus,Medium,PASSED
